employee_number,age,tenure,turnover,hourly_rate,hours_weekly,compensation_type,job_role_area,gender,marital_status,num_companies_previously_worked,annual_professonal_dev_hrs,pay_check_method,text_message_optin,annual_salary,driving_commuter_distance,commute_distance_category
13,38,4,Yes,85.24,40,Salary,Research,Male,Single,6,15.0,Mailed Check,Yes,177299.2,2.0,"(0.051, 95.9]"
14,47,16,Yes,85.24,40,Salary,Research,Male,Single,5,5.0,Mailed Check,Yes,177299.2,2.0,"(0.051, 95.9]"
15,30,2,Yes,30.42,40,Salary,Information Technology,Female,Married,2,6.0,Mailed Check,Yes,63273.6,36.0,"(0.051, 95.9]"
16,38,1,No,30.42,40,Salary,Information Technology,Female,Married,3,5.0,Mailed Check,Yes,63273.6,36.0,"(0.051, 95.9]"
17,55,20,Yes,88.5,40,Salary,Information Technology,Prefer Not to Answer,Married,7,9.0,Mailed Check,Yes,284080.0,60.0,"(0.051, 95.9]"
18,59,16,Yes,88.5,40,Salary,Information Technology,Prefer Not to Answer,Married,5,15.0,Mailed Check,Yes,284080.0,60.0,"(0.051, 95.9]"
19,29,1,Yes,24.3,40,Salary,Sales,Female,Married,1,15.0,Mailed Check,Yes,50544.0,2.0,"(0.051, 95.9]"
20,35,10,No,24.3,40,Salary,Sales,Female,Married,5,15.0,Mailed Check,Yes,50544.0,2.0,"(0.051, 95.9]"
21,30,6,No,26.28,40,Salary,Research,Female,Married,3,15.0,Direct Deposit,Yes,54662.4,14.0,"(0.051, 95.9]"
22,37,7,Yes,26.28,40,Salary,Research,Female,Married,5,15.0,Direct Deposit,Yes,54662.4,14.0,"(0.051, 95.9]"
23,44,9,No,87.22,40,Salary,Manufacturing,Female,Divorced,2,16.0,Mailed Check,Yes,281417.6,75.0,"(0.051, 95.9]"
24,54,15,No,87.22,40,Salary,Manufacturing,Female,Divorced,7,24.0,Mailed Check,Yes,281417.6,75.0,"(0.051, 95.9]"
25,36,3,Yes,87.2,40,Salary,Research,Female,Married,1,10.0,Direct Deposit,Yes,281376.0,5.0,"(0.051, 95.9]"
26,40,8,No,87.2,40,Salary,Research,Female,Married,4,15.0,Direct Deposit,Yes,281376.0,5.0,"(0.051, 95.9]"
27,32,6,No,31.02,40,Salary,Research,Female,Married,1,18.0,Mailed Check,Yes,64521.6,910.0,"(855.1, 950.0]"
28,32,5,No,31.02,40,Salary,Research,Female,Married,2,11.0,Mailed Check,Yes,64521.6,910.0,"(855.1, 950.0]"
29,41,7,No,89.4,40,Salary,Healthcare,Prefer Not to Answer,Single,6,20.0,Mailed Check,Yes,285952.0,28.0,"(0.051, 95.9]"
30,44,18,Yes,89.4,40,Salary,Healthcare,Prefer Not to Answer,Single,6,25.0,Mailed Check,Yes,285952.0,28.0,"(0.051, 95.9]"
31,30,1,No,24.5,40,Salary,Human Resources,Female,Divorced,3,17.0,Mailed Check,Yes,50960.0,42.0,"(0.051, 95.9]"
32,34,2,No,24.5,40,Salary,Human Resources,Female,Divorced,3,15.0,Mailed Check,Yes,50960.0,42.0,"(0.051, 95.9]"
33,38,8,No,88.78,40,Salary,Laboratory,Prefer Not to Answer,Divorced,1,21.0,Mailed Check,Yes,284662.4,42.0,"(0.051, 95.9]"
34,56,8,No,88.78,40,Salary,Laboratory,Prefer Not to Answer,Divorced,3,25.0,Mailed Check,Yes,284662.4,42.0,"(0.051, 95.9]"
35,28,4,No,25.14,40,Salary,Laboratory,Female,Married,2,12.0,Mailed Check,Yes,52291.2,910.0,"(855.1, 950.0]"
36,35,6,Yes,25.14,40,Salary,Laboratory,Female,Married,6,7.0,Mailed Check,Yes,52291.2,910.0,"(855.1, 950.0]"
37,37,5,Yes,85.44,40,Salary,Sales,Female,Single,6,12.0,Mailed Check,Yes,177715.2,33.0,"(0.051, 95.9]"
38,44,10,No,85.44,40,Salary,Sales,Female,Single,7,19.0,Mailed Check,Yes,177715.2,33.0,"(0.051, 95.9]"
39,36,7,No,29.21,40,Salary,Laboratory,Female,Divorced,2,15.0,Direct Deposit,Yes,60756.8,79.0,"(0.051, 95.9]"
40,37,9,No,29.21,40,Salary,Laboratory,Female,Divorced,4,22.0,Direct Deposit,Yes,60756.8,79.0,"(0.051, 95.9]"
41,30,1,No,23.86,40,Salary,Marketing,Female,Single,1,12.0,Mailed Check,Yes,49628.8,50.0,"(0.051, 95.9]"
42,30,8,Yes,23.86,40,Salary,Marketing,Female,Single,2,21.0,Mailed Check,Yes,49628.8,50.0,"(0.051, 95.9]"
43,21,1,Yes,22.24,40,Salary,Research,Female,Single,3,12.0,Direct Deposit,Yes,5259.2,13.0,"(0.051, 95.9]"
44,23,1,Yes,22.24,40,Salary,Research,Female,Married,2,11.0,Direct Deposit,Yes,5259.2,13.0,"(0.051, 95.9]"
45,36,8,No,84.7,40,Salary,Manufacturing,Prefer Not to Answer,Divorced,6,9.0,Mailed Check,Yes,176176.0,75.0,"(0.051, 95.9]"
46,45,20,No,84.7,40,Salary,Manufacturing,Prefer Not to Answer,Divorced,4,9.0,Mailed Check,Yes,176176.0,75.0,"(0.051, 95.9]"
47,36,1,Yes,26.48,40,Salary,Sales,Female,Divorced,6,24.0,Direct Deposit,Yes,55078.4,57.0,"(0.051, 95.9]"
48,38,3,Yes,26.48,40,Salary,Sales,Female,Divorced,1,10.0,Direct Deposit,Yes,55078.4,57.0,"(0.051, 95.9]"
49,36,2,Yes,28.3,40,Salary,Sales,Female,Married,2,24.0,Mailed Check,Yes,58864.0,82.0,"(0.051, 95.9]"
50,40,8,No,28.3,40,Salary,Sales,Female,Married,5,14.0,Mailed Check,Yes,58864.0,82.0,"(0.051, 95.9]"
51,27,3,Yes,22.72,40,Salary,Information Technology,Male,Single,2,5.0,Mailed Check,Yes,47257.6,4.0,"(0.051, 95.9]"
52,32,3,Yes,22.72,40,Salary,Information Technology,Male,Single,3,14.0,Mailed Check,Yes,47257.6,4.0,"(0.051, 95.9]"
53,44,18,No,87.0,40,Salary,Manufacturing,Prefer Not to Answer,Divorced,7,13.0,Mailed Check,Yes,280960.0,42.0,"(0.051, 95.9]"
54,47,9,No,87.0,40,Salary,Manufacturing,Prefer Not to Answer,Divorced,1,15.0,Mailed Check,Yes,280960.0,42.0,"(0.051, 95.9]"
55,44,16,No,31.3,40,Salary,Marketing,Male,Divorced,8,22.0,Mailed Check,Yes,65053.9,42.0,"(0.051, 95.9]"
56,50,8,No,31.3,40,Salary,Marketing,Male,Divorced,5,10.0,Mailed Check,Yes,65053.9,42.0,"(0.051, 95.9]"
57,31,9,No,26.33,40,Salary,Healthcare,Male,Single,1,15.0,Mailed Check,Yes,54766.4,60.0,"(0.051, 95.9]"
58,33,5,Yes,26.33,40,Salary,Healthcare,Male,Single,3,17.0,Mailed Check,Yes,54766.4,60.0,"(0.051, 95.9]"
59,46,16,Yes,89.35,40,Salary,Healthcare,Prefer Not to Answer,Single,2,15.0,Mailed Check,Yes,285848.0,64.0,"(0.051, 95.9]"
60,48,17,Yes,89.35,40,Salary,Healthcare,Prefer Not to Answer,Single,1,6.0,Mailed Check,Yes,285848.0,64.0,"(0.051, 95.9]"
61,37,8,Yes,28.66,40,Salary,Marketing,Female,Single,6,15.0,Mailed Check,Yes,59612.8,33.0,"(0.051, 95.9]"
62,39,4,Yes,28.66,40,Salary,Marketing,Female,Single,3,15.0,Mailed Check,Yes,59612.8,33.0,"(0.051, 95.9]"
63,33,5,No,26.14,40,Salary,Manufacturing,Female,Divorced,1,15.0,Mailed Check,Yes,54371.2,36.0,"(0.051, 95.9]"
64,39,1,No,26.14,40,Salary,Manufacturing,Female,Divorced,2,11.0,Mailed Check,Yes,54371.2,36.0,"(0.051, 95.9]"
65,30,3,Yes,29.49,40,Salary,Marketing,Female,Married,1,19.0,Mailed Check,Yes,61292.0,42.0,"(0.051, 95.9]"
66,32,5,Yes,29.49,40,Salary,Marketing,Female,Married,3,8.0,Mailed Check,Yes,61292.0,42.0,"(0.051, 95.9]"
67,30,8,No,24.74,40,Salary,Sales,Male,Divorced,1,21.0,Mailed Check,Yes,51459.2,77.0,"(0.051, 95.9]"
68,32,4,No,24.74,40,Salary,Sales,Male,Divorced,2,8.0,Mailed Check,Yes,51459.2,77.0,"(0.051, 95.9]"
69,40,4,Yes,85.33,40,Salary,Sales,Prefer Not to Answer,Single,9,19.0,Mailed Check,Yes,177486.4,1.0,"(0.051, 95.9]"
70,45,16,Yes,85.33,40,Salary,Sales,Prefer Not to Answer,Single,5,15.0,Mailed Check,Yes,177486.4,1.0,"(0.051, 95.9]"
71,48,7,No,85.22,40,Salary,Laboratory,Prefer Not to Answer,Single,8,6.0,Mailed Check,Yes,177257.6,33.0,"(0.051, 95.9]"
72,57,5,No,85.22,40,Salary,Laboratory,Prefer Not to Answer,Single,5,12.0,Mailed Check,Yes,177257.6,33.0,"(0.051, 95.9]"
73,28,6,No,22.8,40,Salary,Research,Female,Divorced,2,19.0,Mailed Check,Yes,47424.0,24.0,"(0.051, 95.9]"
74,28,1,Yes,22.8,40,Salary,Research,Female,Divorced,3,18.0,Mailed Check,Yes,47424.0,24.0,"(0.051, 95.9]"
75,34,6,No,28.2,40,Salary,Sales,Male,Single,4,17.0,Direct Deposit,Yes,58656.0,12.0,"(0.051, 95.9]"
76,40,4,No,28.2,40,Salary,Sales,Male,Single,5,20.0,Direct Deposit,Yes,58656.0,12.0,"(0.051, 95.9]"
77,30,7,No,28.1,40,Salary,Sales,Male,Single,1,12.0,Mailed Check,Yes,58448.0,2.0,"(0.051, 95.9]"
78,40,3,Yes,28.1,40,Salary,Sales,Male,Single,1,22.0,Mailed Check,Yes,58448.0,2.0,"(0.051, 95.9]"
79,34,9,No,26.59,40,Salary,Information Technology,Female,Divorced,2,20.0,Mailed Check,Yes,55307.2,67.0,"(0.051, 95.9]"
80,37,3,No,26.59,40,Salary,Information Technology,Female,Divorced,3,6.0,Mailed Check,Yes,55307.2,67.0,"(0.051, 95.9]"
81,52,6,No,89.31,40,Salary,Research,Male,Married,7,15.0,Mailed Check,Yes,285764.8,41.0,"(0.051, 95.9]"
82,53,9,Yes,89.31,40,Salary,Research,Male,Married,6,15.0,Mailed Check,Yes,285764.8,41.0,"(0.051, 95.9]"
83,50,10,No,88.27,40,Salary,Research,Male,Married,3,12.0,Direct Deposit,Yes,283601.6,60.0,"(0.051, 95.9]"
84,54,17,No,88.27,40,Salary,Research,Male,Married,6,16.0,Direct Deposit,Yes,283601.6,60.0,"(0.051, 95.9]"
85,53,18,Yes,31.39,40,Salary,Information Technology,Female,Divorced,2,25.0,Mailed Check,Yes,65291.2,62.0,"(0.051, 95.9]"
86,57,14,Yes,31.39,40,Salary,Information Technology,Female,Divorced,9,18.0,Mailed Check,Yes,65291.2,62.0,"(0.051, 95.9]"
87,39,7,Yes,31.39,40,Salary,Information Technology,Female,Divorced,4,6.0,Mailed Check,Yes,65291.2,47.0,"(0.051, 95.9]"
88,55,10,Yes,31.39,40,Salary,Information Technology,Female,Divorced,1,15.0,Mailed Check,Yes,65291.2,47.0,"(0.051, 95.9]"
89,31,9,No,28.73,40,Salary,Laboratory,Female,Married,1,25.0,Mailed Check,Yes,59758.4,28.0,"(0.051, 95.9]"
90,40,1,No,28.73,40,Salary,Laboratory,Female,Married,6,10.0,Mailed Check,Yes,59758.4,28.0,"(0.051, 95.9]"
91,36,9,No,28.73,40,Salary,Laboratory,Female,Married,3,11.0,Mailed Check,Yes,59758.4,42.0,"(0.051, 95.9]"
92,39,4,No,28.73,40,Salary,Laboratory,Female,Married,6,18.0,Mailed Check,Yes,59758.4,42.0,"(0.051, 95.9]"
93,44,8,Yes,48.45,40,Salary,Marketing,Female,Married,5,12.0,Mailed Check,Yes,100776.0,76.0,"(0.051, 95.9]"
94,59,6,Yes,48.45,40,Salary,Marketing,Female,Married,7,15.0,Mailed Check,Yes,100776.0,76.0,"(0.051, 95.9]"
95,48,13,Yes,85.4,40,Salary,Research,Male,Single,7,5.0,Mailed Check,Yes,177632.0,31.0,"(0.051, 95.9]"
96,54,17,No,85.4,40,Salary,Research,Male,Single,2,25.0,Mailed Check,Yes,177632.0,31.0,"(0.051, 95.9]"
97,44,6,No,71.9,40,Salary,Marketing,Male,Married,6,15.0,Mailed Check,Yes,149552.0,32.0,"(0.051, 95.9]"
98,58,19,No,71.9,40,Salary,Marketing,Male,Married,5,23.0,Mailed Check,Yes,149552.0,32.0,"(0.051, 95.9]"
99,48,17,Yes,71.33,40,Salary,Sales,Prefer Not to Answer,Married,8,8.0,Mailed Check,Yes,148075.2,50.0,"(0.051, 95.9]"
100,57,17,No,71.33,40,Salary,Sales,Prefer Not to Answer,Married,9,22.0,Mailed Check,Yes,148075.2,50.0,"(0.051, 95.9]"
101,49,7,No,65.62,40,Salary,Research,Male,Divorced,6,17.0,Direct Deposit,Yes,136489.6,15.0,"(0.051, 95.9]"
102,52,17,Yes,65.62,40,Salary,Research,Male,Divorced,1,6.0,Direct Deposit,Yes,136489.6,15.0,"(0.051, 95.9]"
103,37,10,Yes,56.11,40,Salary,Healthcare,Male,Divorced,1,15.0,Mailed Check,Yes,116708.8,33.0,"(0.051, 95.9]"
104,49,7,Yes,56.11,40,Salary,Healthcare,Male,Divorced,1,22.0,Mailed Check,Yes,116708.8,33.0,"(0.051, 95.9]"
105,44,14,No,80.12,40,Salary,Human Resources,Male,Married,1,15.0,Mailed Check,Yes,166649.6,56.0,"(0.051, 95.9]"
106,59,13,Yes,80.12,40,Salary,Human Resources,Male,Married,9,6.0,Mailed Check,Yes,166649.6,56.0,"(0.051, 95.9]"
107,34,4,No,25.71,40,Salary,Marketing,Male,Single,3,17.0,Direct Deposit,Yes,53476.8,32.0,"(0.051, 95.9]"
108,34,1,No,25.71,40,Salary,Marketing,Male,Single,5,5.0,Direct Deposit,Yes,53476.8,32.0,"(0.051, 95.9]"
109,41,6,Yes,97.05,40,Salary,Research,Female,Divorced,3,23.0,Mailed Check,Yes,202864.0,22.0,"(0.051, 95.9]"
110,42,3,No,97.05,40,Salary,Research,Female,Divorced,5,6.0,Mailed Check,Yes,202864.0,22.0,"(0.051, 95.9]"
111,33,4,Yes,25.17,40,Salary,Information Technology,Male,Single,6,14.0,Direct Deposit,Yes,52353.6,51.0,"(0.051, 95.9]"
112,35,7,Yes,25.17,40,Salary,Information Technology,Male,Single,6,25.0,Direct Deposit,Yes,52353.6,51.0,"(0.051, 95.9]"
113,39,8,Yes,81.64,40,Salary,Marketing,Male,Divorced,2,17.0,Mailed Check,Yes,169811.2,60.0,"(0.051, 95.9]"
114,58,7,No,81.64,40,Salary,Marketing,Male,Divorced,2,12.0,Mailed Check,Yes,169811.2,60.0,"(0.051, 95.9]"
115,44,12,Yes,40.53,40,Salary,Sales,Female,Married,9,15.0,Mailed Check,Yes,84302.4,58.0,"(0.051, 95.9]"
116,60,10,No,40.53,40,Salary,Sales,Female,Married,9,8.0,Mailed Check,Yes,84302.4,58.0,"(0.051, 95.9]"
117,31,3,No,23.42,40,Salary,Research,Female,Divorced,2,6.0,Direct Deposit,Yes,48713.6,42.0,"(0.051, 95.9]"
118,35,4,Yes,23.42,40,Salary,Research,Female,Divorced,4,15.0,Direct Deposit,Yes,48713.6,42.0,"(0.051, 95.9]"
119,37,3,No,65.52,40,Salary,Healthcare,Female,Married,2,11.0,Mailed Check,Yes,136281.6,36.0,"(0.051, 95.9]"
120,48,19,Yes,65.52,40,Salary,Healthcare,Female,Married,7,23.0,Mailed Check,Yes,136281.6,36.0,"(0.051, 95.9]"
121,33,3,Yes,28.09,40,Salary,Sales,Female,Single,1,13.0,Mailed Check,Yes,58427.2,34.0,"(0.051, 95.9]"
122,34,1,Yes,28.09,40,Salary,Sales,Female,Single,4,22.0,Mailed Check,Yes,58427.2,34.0,"(0.051, 95.9]"
123,35,6,Yes,26.84,40,Salary,Sales,Male,Divorced,1,21.0,Mailed Check,Yes,55827.2,60.0,"(0.051, 95.9]"
124,38,3,No,26.84,40,Salary,Sales,Male,Divorced,2,25.0,Mailed Check,Yes,55827.2,60.0,"(0.051, 95.9]"
125,36,10,Yes,34.87,40,Salary,Research,Female,Single,1,15.0,Mailed Check,Yes,72529.6,1.0,"(0.051, 95.9]"
126,48,13,Yes,34.87,40,Salary,Research,Female,Single,4,13.0,Mailed Check,Yes,72529.6,1.0,"(0.051, 95.9]"
127,38,5,Yes,83.05,40,Salary,Marketing,Female,Single,1,5.0,Mailed Check,Yes,172744.0,37.0,"(0.051, 95.9]"
128,42,8,No,83.05,40,Salary,Marketing,Female,Single,6,12.0,Mailed Check,Yes,172744.0,37.0,"(0.051, 95.9]"
129,40,10,No,59.45,40,Salary,Research,Female,Married,6,15.0,Mailed Check,Yes,123656.0,42.0,"(0.051, 95.9]"
130,45,16,Yes,59.45,40,Salary,Research,Female,Married,3,14.0,Mailed Check,Yes,123656.0,42.0,"(0.051, 95.9]"
131,56,16,No,35.54,40,Salary,Healthcare,Male,Married,7,8.0,Mailed Check,Yes,73923.2,16.0,"(0.051, 95.9]"
132,56,18,No,35.54,40,Salary,Healthcare,Male,Married,3,24.0,Mailed Check,Yes,73923.2,16.0,"(0.051, 95.9]"
133,40,1,Yes,43.0,40,Salary,Sales,Female,Divorced,2,15.0,Direct Deposit,Yes,89440.0,26.0,"(0.051, 95.9]"
134,44,10,Yes,43.0,40,Salary,Sales,Female,Divorced,6,18.0,Direct Deposit,Yes,89440.0,26.0,"(0.051, 95.9]"
135,49,18,Yes,62.53,40,Salary,Healthcare,Male,Single,5,15.0,Direct Deposit,Yes,130062.4,77.0,"(0.051, 95.9]"
136,58,20,Yes,62.53,40,Salary,Healthcare,Male,Single,2,10.0,Direct Deposit,Yes,130062.4,77.0,"(0.051, 95.9]"
137,34,1,No,26.06,40,Salary,Laboratory,Female,Married,5,8.0,Direct Deposit,Yes,54204.8,35.0,"(0.051, 95.9]"
138,39,9,No,26.06,40,Salary,Laboratory,Female,Married,5,16.0,Direct Deposit,Yes,54204.8,35.0,"(0.051, 95.9]"
139,37,7,No,60.01,40,Salary,Healthcare,Female,Married,5,15.0,Mailed Check,Yes,124820.8,34.0,"(0.051, 95.9]"
140,60,11,No,60.01,40,Salary,Healthcare,Female,Married,2,15.0,Mailed Check,Yes,124820.8,34.0,"(0.051, 95.9]"
141,39,9,No,50.74,40,Salary,Manufacturing,Female,Married,3,15.0,Mailed Check,Yes,105539.2,74.0,"(0.051, 95.9]"
142,54,11,Yes,50.74,40,Salary,Manufacturing,Female,Married,9,15.0,Mailed Check,Yes,105539.2,74.0,"(0.051, 95.9]"
143,39,8,No,53.28,40,Salary,Manufacturing,Male,Divorced,4,7.0,Mailed Check,Yes,110614.4,62.0,"(0.051, 95.9]"
144,54,10,No,53.28,40,Salary,Manufacturing,Male,Divorced,1,24.0,Mailed Check,Yes,110614.4,62.0,"(0.051, 95.9]"
145,30,6,Yes,24.64,40,Salary,Human Resources,Female,Divorced,2,22.0,Direct Deposit,Yes,51251.2,42.0,"(0.051, 95.9]"
146,30,1,No,24.64,40,Salary,Human Resources,Female,Divorced,3,15.0,Direct Deposit,Yes,51251.2,42.0,"(0.051, 95.9]"
147,39,8,No,86.33,40,Salary,Research,Female,Married,3,12.0,Mailed Check,Yes,179566.4,42.0,"(0.051, 95.9]"
148,47,12,Yes,86.33,40,Salary,Research,Female,Married,4,8.0,Mailed Check,Yes,179566.4,42.0,"(0.051, 95.9]"
149,33,7,Yes,31.1,40,Salary,Human Resources,Female,Single,1,21.0,Mailed Check,Yes,64688.0,84.0,"(0.051, 95.9]"
150,37,7,No,31.1,40,Salary,Human Resources,Female,Single,6,15.0,Mailed Check,Yes,64688.0,84.0,"(0.051, 95.9]"
151,34,5,No,23.37,40,Salary,Information Technology,Male,Divorced,2,18.0,Mailed Check,Yes,48609.6,60.0,"(0.051, 95.9]"
152,35,9,Yes,23.37,40,Salary,Information Technology,Male,Divorced,5,25.0,Mailed Check,Yes,48609.6,60.0,"(0.051, 95.9]"
153,50,7,No,60.42,40,Salary,Information Technology,Male,Divorced,1,12.0,Direct Deposit,Yes,125673.6,44.0,"(0.051, 95.9]"
154,55,19,No,60.42,40,Salary,Information Technology,Male,Divorced,8,24.0,Direct Deposit,Yes,125673.6,44.0,"(0.051, 95.9]"
155,36,2,Yes,28.04,40,Salary,Manufacturing,Male,Married,2,8.0,Mailed Check,Yes,58323.2,61.0,"(0.051, 95.9]"
156,38,7,Yes,28.04,40,Salary,Manufacturing,Male,Married,6,10.0,Mailed Check,Yes,58323.2,61.0,"(0.051, 95.9]"
157,43,3,No,59.17,40,Salary,Sales,Female,Married,6,15.0,Mailed Check,Yes,123073.6,87.0,"(0.051, 95.9]"
158,55,14,No,59.17,40,Salary,Sales,Female,Married,8,21.0,Mailed Check,Yes,123073.6,87.0,"(0.051, 95.9]"
159,31,3,No,25.41,40,Salary,Marketing,Male,Single,2,15.0,Mailed Check,Yes,52852.8,75.0,"(0.051, 95.9]"
160,32,5,Yes,25.41,40,Salary,Marketing,Male,Single,1,15.0,Mailed Check,Yes,52852.8,75.0,"(0.051, 95.9]"
161,30,2,Yes,25.57,40,Salary,Healthcare,Male,Married,3,23.0,Mailed Check,Yes,53285.6,79.0,"(0.051, 95.9]"
162,33,9,No,25.57,40,Salary,Healthcare,Male,Married,4,15.0,Mailed Check,Yes,53285.6,79.0,"(0.051, 95.9]"
163,34,5,Yes,28.09,40,Salary,Sales,Male,Single,5,23.0,Mailed Check,Yes,58427.2,15.0,"(0.051, 95.9]"
164,36,5,No,28.09,40,Salary,Sales,Male,Single,2,12.0,Mailed Check,Yes,58427.2,15.0,"(0.051, 95.9]"
165,48,11,Yes,33.29,40,Salary,Research,Male,Single,3,17.0,Mailed Check,Yes,69243.2,46.0,"(0.051, 95.9]"
166,61,11,No,33.29,40,Salary,Research,Male,Single,8,21.0,Mailed Check,Yes,69243.2,46.0,"(0.051, 95.9]"
167,41,3,No,91.85,40,Salary,Sales,Female,Married,6,25.0,Mailed Check,Yes,331048.0,42.0,"(0.051, 95.9]"
168,58,16,No,91.85,40,Salary,Sales,Female,Married,2,15.0,Mailed Check,Yes,331048.0,42.0,"(0.051, 95.9]"
169,57,15,Yes,45.29,40,Salary,Healthcare,Male,Single,1,5.0,Mailed Check,Yes,94203.2,33.0,"(0.051, 95.9]"
170,58,10,No,45.29,40,Salary,Healthcare,Male,Single,4,24.0,Mailed Check,Yes,94203.2,33.0,"(0.051, 95.9]"
171,41,8,No,96.17,40,Salary,Laboratory,Male,Single,1,6.0,Direct Deposit,Yes,200033.6,52.0,"(0.051, 95.9]"
172,55,15,No,96.17,40,Salary,Laboratory,Male,Single,4,21.0,Direct Deposit,Yes,200033.6,52.0,"(0.051, 95.9]"
173,48,5,No,76.51,40,Salary,Information Technology,Female,Single,8,22.0,Mailed Check,Yes,159140.8,73.0,"(0.051, 95.9]"
174,61,10,No,76.51,40,Salary,Information Technology,Female,Single,4,15.0,Mailed Check,Yes,159140.8,73.0,"(0.051, 95.9]"
175,37,4,No,57.15,40,Salary,Information Technology,Female,Divorced,6,23.0,Mailed Check,Yes,128872.0,42.0,"(0.051, 95.9]"
176,42,3,Yes,57.15,40,Salary,Information Technology,Female,Divorced,3,10.0,Mailed Check,Yes,128872.0,42.0,"(0.051, 95.9]"
177,55,16,No,64.59,40,Salary,Manufacturing,Male,Divorced,8,5.0,Mailed Check,Yes,134347.2,50.0,"(0.051, 95.9]"
178,56,17,Yes,64.59,40,Salary,Manufacturing,Male,Divorced,5,20.0,Mailed Check,Yes,134347.2,50.0,"(0.051, 95.9]"
179,26,3,Yes,22.38,40,Salary,Laboratory,Male,Single,2,7.0,Direct Deposit,Yes,46550.4,53.0,"(0.051, 95.9]"
180,26,3,No,22.38,40,Salary,Laboratory,Male,Single,2,15.0,Direct Deposit,Yes,46550.4,53.0,"(0.051, 95.9]"
181,38,6,No,44.26,40,Salary,Human Resources,Female,Married,1,18.0,Mailed Check,Yes,92060.8,85.0,"(0.051, 95.9]"
182,60,14,No,44.26,40,Salary,Human Resources,Female,Married,4,22.0,Mailed Check,Yes,92060.8,85.0,"(0.051, 95.9]"
183,43,3,No,71.87,40,Salary,Marketing,Female,Married,8,19.0,Direct Deposit,Yes,149489.6,66.0,"(0.051, 95.9]"
184,55,8,Yes,71.87,40,Salary,Marketing,Female,Married,1,7.0,Direct Deposit,Yes,149489.6,66.0,"(0.051, 95.9]"
185,43,3,No,64.88,40,Salary,Human Resources,Female,Divorced,8,15.0,Mailed Check,Yes,134950.4,42.0,"(0.051, 95.9]"
186,48,20,No,64.88,40,Salary,Human Resources,Female,Divorced,9,17.0,Mailed Check,Yes,134950.4,42.0,"(0.051, 95.9]"
187,36,5,No,42.17,40,Salary,Manufacturing,Female,Divorced,6,9.0,Mailed Check,Yes,87713.6,80.0,"(0.051, 95.9]"
188,41,9,Yes,42.17,40,Salary,Manufacturing,Female,Divorced,3,15.0,Mailed Check,Yes,87713.6,80.0,"(0.051, 95.9]"
189,47,12,No,37.36,40,Salary,Research,Male,Divorced,4,15.0,Direct Deposit,Yes,77708.8,55.0,"(0.051, 95.9]"
190,51,9,No,37.36,40,Salary,Research,Male,Divorced,7,20.0,Direct Deposit,Yes,77708.8,55.0,"(0.051, 95.9]"
191,47,6,Yes,32.42,40,Salary,Sales,Female,Married,5,21.0,Mailed Check,Yes,67433.6,66.0,"(0.051, 95.9]"
192,59,17,Yes,32.42,40,Salary,Sales,Female,Married,2,12.0,Mailed Check,Yes,67433.6,66.0,"(0.051, 95.9]"
193,39,6,No,31.08,40,Salary,Sales,Male,Married,5,25.0,Mailed Check,Yes,64646.4,50.0,"(0.051, 95.9]"
194,39,7,No,31.08,40,Salary,Sales,Male,Married,4,19.0,Mailed Check,Yes,64646.4,50.0,"(0.051, 95.9]"
195,50,15,Yes,86.72,40,Salary,Healthcare,Female,Divorced,4,15.0,Mailed Check,Yes,280377.6,2.0,"(0.051, 95.9]"
